Column,Authors,Title,Publication,Volume,Number,Pages,Year,Publisher,Tipology
1,A. Lario; R. Maulik; O. T. Schmidt; G. Rozza; G. Mengaldo; ,Neural-network learning of SPOD latent dynamics,Journal of Computational Physics,468,,111475,2022,Academic Press,Journal
2,R. Maulik; V. Rao; J. Wang; G. Mengaldo; E. Constantinescu; B. Lusch; P. Balaprakash; I. Foster;  R. Kotamarthi; ,Efficient high-dimensional variational data assimilation with machine-learned reduced-order models,Geoscientific Model Development,15,,3433–3445,2022,,Journal
3,M. W. Hess; A. Lario; G. Mengaldo; G. Rozza; ,Reduced order modeling for spectral element methods: current developments in Nektar++ and further perspectives,arXiv preprint arXiv:2201.05404,,,,2022,,Preprint
4,H. Turbé; M. Bjelogrlic; C. Lovis; G. Mengaldo; ,InterpretTime: a new approach for the systematic evaluation of neural-network interpretability in time series classification,arXiv preprint arXiv:2202.05656,,,,2022,,Preprint
5,A. Gualandi; D. Faranda; C. Marone; M. Cocco; G. Mengaldo; ,Stochastic Chaos and Predictability in Laboratory Earthquakes,arXiv preprint arXiv:2204.02763,,,,2022,,Preprint
6,G. Mengaldo; F. Renda; S. L. Brunton; M. Bächer; M. Calisti; C. Duriez; G. S. Chirikjian; C. Laschi; ,A concise guide to modelling the physics of embodied intelligence in soft robotics,Nature Reviews Physics,4,9,595-610,2022,Nature Publishing Group,Journal
7,R. C. Moura; A. F. C. Silva; G. Mengaldo; S. J. Sherwin; ,Spectral/hp element methods' linear mechanism of (apparent) energy transfer in Fourier space: Insights into dispersion analysis for implicit LES,Journal of Computational Physics,,,111613,2022,Academic Press,Journal
8,G. Mengaldo; R. Maulik; ,Pyspod: A python package for spectral proper orthogonal decomposition (spod),Journal of Open Source Software,6,60,2862,2021,,Journal
9,R. Maulik; G. Mengaldo; ,"PyParSVD: A streaming, distributed and randomized singular-value-decomposition library",2021 7th International Workshop on Data Analysis and Reduction for Big Scientific Data (DRBSD-7),,,19-25,2021,IEEE,Proceeding
10,N. Tonicello; R. C. Moura; G. Lodato; G. Mengaldo; ,Fully-discrete spatial eigenanalysis of discontinuous spectral element methods: insights into well-resolved and under-resolved vortical flows,arXiv preprint arXiv:2111.13891,,,,2021,,Preprint
11,G. Mengaldo; D. Moxey; M. Turner; R. C. Moura; A. Jassim; M. Taylor; J. Peiró; and S. J. Sherwin; ,Industry-Relevant Implicit Large-Eddy Simulation of a High-Performance Road Car via Spectral/hp Element Methods,SIAM Review,63,4,,2021,,Journal
12,D. Moxey; C. D. Cantwell; Y. Bao; A. Cassinelli; G. Castiglioni; S. Chun; E. Juda; E. Kazemi; K. Lackhove; J. Marcon; G. Mengaldo; D. Serson; M. Turner; H. Xu; J. Peiró; R. M. Kirby; S. J. Sherwin;,Nektar++: Enhancing the capability and application of high-fidelity spectral/hp element methods,Computer Physics Communications,249,,107110,2020,North-Holland,Journal
13,B. Dorschner; K. Yu; G. Mengaldo; T. Colonius; ,A fast multi-resolution lattice Green's function method for elliptic difference equations,Journal of Computational Physics,407,,109270,2020,Academic Press,Journal
14,R. C. Moura; P. Fernandez; G. Mengaldo; S. J. Sherwin; ,Viscous diffusion effects in the eigenanalysis of (hybridisable) DG methods,Spectral and High Order Methods for Partial Differential Equations ICOSAHOM 2018,,,371-382,2020,"Springer, Cham",Proceeding
15,P. Fernandez; R. C. Moura; G. Mengaldo; J. Peraire; ,Non-modal analysis of spectral element methods: Towards accurate and robust large-eddy simulations,Computer methods in applied mechanics and engineering,346,,43-62,2019,North-Holland,Journal
16,O. T. Schmidt; G. Mengaldo; G. Balsamo; N. P. Wedi; ,Spectral empirical orthogonal function analysis of weather and climate data,Monthly Weather Review,147,8,2979-2995,2019,,Journal
17,G. Mengaldo; ,Batch 1: definition of several weather & climate dwarfs,arXiv preprint arXiv:1908.06089,,,,2019,,Other
